id,category,question,answer,product
1,shipping,"How long does shipping take?","Standard shipping takes 5-7 business days. Express shipping takes 2-3 business days. Overnight shipping is available for orders placed before 2 PM and delivers next business day.",general
2,shipping,"Do you ship internationally?","Yes, we ship to over 50 countries worldwide. International shipping typically takes 10-15 business days. Additional customs fees may apply depending on your country.",general
3,shipping,"How can I track my order?","Once your order ships, you'll receive an email with a tracking number. You can track your package on our website under 'Order Status' or directly on the carrier's website (UPS, FedEx, or USPS).",general
4,shipping,"What if my package is lost or damaged?","If your package is lost or arrives damaged, please contact us within 48 hours. We'll file a claim with the carrier and either send a replacement or issue a full refund.",general
5,shipping,"Can I change my shipping address after ordering?","You can change your shipping address within 1 hour of placing your order by contacting our support team. After that, the order may have already been processed and shipped.",general
6,returns,"What is your return policy?","We offer a 30-day return policy for all unused items in original packaging. Simply initiate a return through your account or contact support. Refunds are processed within 5-7 business days after we receive the item.",general
7,returns,"How do I return an item?","To return an item: 1) Log into your account 2) Go to Order History 3) Select the item to return 4) Print the prepaid shipping label 5) Drop off at any UPS location. Refund will be processed once we receive the item.",general
8,returns,"Is return shipping free?","Return shipping is free for defective items or if we made an error. For other returns, a $5.99 shipping fee will be deducted from your refund. Premium members get free returns on all orders.",general
9,returns,"When will I get my refund?","Refunds are processed within 5-7 business days after we receive your return. It may take an additional 3-5 business days for the refund to appear on your credit card statement.",general
10,returns,"Can I exchange an item instead of returning?","Yes! You can exchange items for a different size or color. Select 'Exchange' instead of 'Return' when initiating the process. The new item ships free once we receive your original item.",general
11,payment,"What payment methods do you accept?","We accept Visa, Mastercard, American Express, Discover, PayPal, Apple Pay, Google Pay, and Shop Pay. We also offer Klarna and Afterpay for buy-now-pay-later options.",general
12,payment,"Is my payment information secure?","Absolutely. We use 256-bit SSL encryption and are PCI DSS compliant. We never store your full credit card number. All transactions are processed through secure, trusted payment gateways.",general
13,payment,"Why was my payment declined?","Payments can be declined due to: incorrect card details, insufficient funds, bank security blocks, or expired cards. Please verify your information or try a different payment method. Contact your bank if issues persist.",general
14,payment,"Do you offer payment plans?","Yes! We offer buy-now-pay-later through Klarna and Afterpay. Split your purchase into 4 interest-free payments. Select your preferred option at checkout. Available for orders $50-$1000.",general
15,payment,"Can I use multiple payment methods?","Currently, you can combine a gift card with one other payment method. We don't support splitting payment across multiple credit cards. For large orders, consider using PayPal or a payment plan.",general
16,account,"How do I create an account?","Click 'Sign Up' in the top right corner. Enter your email, create a password, and fill in your details. You can also sign up using Google or Facebook for faster registration.",general
17,account,"I forgot my password. How do I reset it?","Click 'Sign In' then 'Forgot Password'. Enter your email and we'll send a password reset link. The link expires in 24 hours. Check spam folder if you don't see the email.",general
18,account,"How do I update my account information?","Log into your account, go to 'Account Settings'. From there you can update your name, email, password, phone number, and communication preferences.",general
19,account,"How do I delete my account?","Go to Account Settings > Privacy > Delete Account. This action is permanent and will remove all your data, order history, and saved items. Allow 30 days for complete deletion.",general
20,account,"What are the benefits of creating an account?","Account benefits include: order tracking, faster checkout, saved addresses, wishlist, exclusive member discounts, early access to sales, and reward points on every purchase.",general
21,orders,"How do I place an order?","Browse products, add items to cart, proceed to checkout. Enter shipping address, select shipping method, add payment details, and confirm order. You'll receive a confirmation email immediately.",general
22,orders,"Can I modify my order after placing it?","You can modify your order within 1 hour of placing it. Contact our support team immediately. After 1 hour, orders enter processing and cannot be changed. You can refuse delivery and return instead.",general
23,orders,"How do I cancel my order?","Orders can be cancelled within 1 hour of placement through your account or by contacting support. After that, you'll need to wait for delivery and initiate a return.",general
24,orders,"Why is my order delayed?","Orders can be delayed due to: high demand periods, weather conditions, carrier delays, or payment verification. Check your email for updates. Contact support if your order is delayed more than 3 days past the estimated date.",general
25,orders,"Do you offer gift wrapping?","Yes! Add gift wrapping at checkout for $4.99 per item. Includes premium wrapping paper, ribbon, and a personalized message card. Gift receipts are included automatically.",general
26,products,"Are your products authentic?","100% of our products are authentic. We source directly from manufacturers and authorized distributors. Every item comes with authenticity guarantee. Report any concerns to our team.",general
27,products,"How do I find my size?","Each product page has a 'Size Guide' link with detailed measurements. We recommend measuring yourself and comparing to our charts. Still unsure? Our chat support can help you choose.",general
28,products,"Are products in stock?","Stock status is shown on each product page. 'In Stock' means ready to ship. 'Low Stock' means limited quantity. 'Pre-Order' means upcoming availability with estimated ship date.",general
29,products,"Do you price match?","Yes, we offer price matching within 14 days of purchase. If you find the identical item cheaper at a major retailer, we'll refund the difference. Submit a price match request through your account.",general
30,products,"How do I know if a product is on sale?","Sale items are marked with a red 'Sale' badge and show original price crossed out. Check our 'Sale' section for all discounted items. Sign up for emails to get notified about sales.",general
31,promo,"How do I apply a promo code?","Enter your promo code in the 'Promo Code' box at checkout and click 'Apply'. The discount will be reflected in your order total. Only one promo code can be used per order.",general
32,promo,"Why isn't my promo code working?","Common reasons: code expired, minimum purchase not met, code already used, items excluded from promotion, or case sensitivity. Check the promo terms or contact support for help.",general
33,promo,"Do you offer student or military discounts?","Yes! Students get 15% off with valid .edu email verification through Student Beans. Military personnel and veterans get 20% off with ID.me verification. Discounts apply to full-price items.",general
34,promo,"How do reward points work?","Earn 1 point per $1 spent. 100 points = $5 reward. Points appear in your account within 24 hours of delivery. Redeem points at checkout. Points expire after 12 months of account inactivity.",general
35,promo,"Can I combine multiple discounts?","Generally, only one promo code can be used per order. However, reward points can be combined with a promo code. Member discounts stack with sale prices. Gift cards are not discounts and can always be used.",general
36,tech_support,"The website isn't loading properly.","Try these steps: 1) Clear browser cache and cookies 2) Try a different browser 3) Disable browser extensions 4) Check your internet connection 5) Try incognito/private mode. Still having issues? Contact tech support.",general
37,tech_support,"The app keeps crashing.","Please try: 1) Force close and reopen the app 2) Check for app updates 3) Restart your device 4) Uninstall and reinstall the app 5) Ensure your OS is updated. Report persistent issues to our tech team.",general
38,tech_support,"I can't log into my account.","Verify your email and password are correct. Try resetting your password. Clear browser cookies. Check if caps lock is on. If using social login, ensure you're using the same method you signed up with.",general
39,tech_support,"The checkout page isn't working.","Try: 1) Refresh the page 2) Clear cache 3) Try different browser 4) Disable ad blockers 5) Check all required fields are filled. If payment fails repeatedly, try a different payment method.",general
40,tech_support,"Images aren't loading on the site.","This is usually a connection issue. Try: 1) Refresh the page 2) Check internet speed 3) Disable VPN if using one 4) Try a different browser 5) Clear cache. Our images require stable internet connection.",general
41,warranty,"What warranty do you offer?","Most products include a 1-year manufacturer warranty covering defects in materials and workmanship. Electronics have a 2-year warranty. Extended warranties are available for purchase at checkout.",general
42,warranty,"How do I file a warranty claim?","Contact our support team with your order number, product details, and description of the issue. Include photos if possible. We'll guide you through the warranty process and arrange repair or replacement.",general
43,warranty,"What does the warranty cover?","Warranty covers manufacturing defects, faulty materials, and workmanship issues under normal use. It does NOT cover: accidental damage, misuse, unauthorized modifications, or normal wear and tear.",general
44,warranty,"Can I extend my warranty?","Yes! Extended warranty plans are available at checkout or within 30 days of purchase. Plans range from 1-3 additional years. Visit your order page to add extended protection.",general
45,warranty,"My warranty claim was denied. What can I do?","If your claim was denied, you can: 1) Appeal with additional documentation 2) Request supervisor review 3) Check if issue is covered under consumer protection laws 4) Consider third-party repair options.",general
